FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
2016-12-16 15:12:21,535216341,***,***,1.7,1.7,1.7,27.8,27.8,32.0,27.8,1.7,21.5,30.39,-436,-2654
2016-12-16 15:12:27,535216347,***,***,7.2,7.2,7.2,29.5,20.7,33.2,29.6,4.1,23.1,30.38,-431,-2522
2016-12-16 15:12:30,535216350,***,***,4.5,4.5,4.5,30.2,23.8,34.3,30.3,5.4,23.6,30.38,-431,-2473
2016-12-16 15:12:32,535216352,***,***,1.5,1.5,1.5,30.8,30.8,36.2,30.8,7.1,24.3,30.38,-434,-2430
2016-12-16 15:12:35,535216355,***,***,1.1,1.1,1.1,30.1,30.3,39.5,30.3,8.4,24.2,30.38,-434,-2475
2016-12-16 15:12:41,535216361,***,***,1.1,1.1,1.1,29.4,29.4,41.2,29.4,8.7,23.8,30.38,-431,-2527
2016-12-16 15:12:45,535216365,***,***,1.0,1.0,1.0,30.7,30.8,41.7,30.8,10.2,24.9,30.38,-431,-2428
2016-12-16 15:12:52,535216372,***,***,15.2,15.2,15.2,42.6,33.3,41.8,41.2,21.0,34.5,30.38,-431,-1580
2016-12-16 15:12:55,535216375,***,***,3.4,3.4,3.4,49.9,48.4,45.0,48.0,29.4,41.0,30.38,-434,-1064
2016-12-16 15:12:59,535216379,***,***,1.2,1.2,1.2,54.2,54.1,49.0,51.8,35.4,45.1,30.38,-434,-758
2016-12-16 15:13:02,535216382,***,***,1.5,1.5,1.5,57.9,57.9,50.9,55.4,39.9,48.7,30.37,-429,-486
2016-12-16 15:13:06,535216386,***,***,1.8,1.8,1.8,63.1,63.1,50.1,59.9,44.3,52.9,30.38,-436,-136
2016-12-16 15:13:10,535216390,***,***,1.7,1.7,1.7,66.8,66.7,45.3,63.9,44.9,54.7,30.38,-431,110
2016-12-16 15:13:16,535216396,***,***,0.0,0.0,0.0,66.6,66.6,38.6,63.1,40.7,52.7,30.38,-431,84
2016-12-16 15:13:31,535216411,***,***,7.3,7.3,7.3,67.3,67.3,27.3,63.1,32.5,50.2,30.38,-434,96
2016-12-16 15:13:35,535216415,***,***,1.6,1.6,1.6,67.8,67.8,25.4,63.7,31.1,50.2,30.38,-436,120
2016-12-16 15:15:45,535216545,***,***,3.0,3.0,3.0,71.5,71.6,12.3,67.3,16.9,48.6,30.39,-440,320
2016-12-16 15:15:57,535216557,***,***,3.2,3.2,3.2,71.9,72.0,12.3,67.5,17.2,48.7,30.39,-440,349
2016-12-16 15:16:04,535216564,***,***,2.9,2.9,2.9,71.6,71.6,12.8,67.3,17.8,48.7,30.39,-440,330
2016-12-16 15:45:55,535218355,***,***,16.8,16.8,16.8,80.0,80.1,26.5,76.5,42.6,59.0,30.38,-429,951
2016-12-16 15:46:46,535218406,***,***,16.6,16.6,16.6,79.4,79.3,17.1,74.7,31.0,55.0,30.38,-431,865
2016-12-16 15:46:53,535218413,***,***,6.9,6.9,6.9,79.0,79.0,18.9,74.5,33.1,55.4,30.38,-429,848
2016-12-16 15:48:40,535218520,***,***,1.8,1.8,1.8,78.7,78.8,19.5,74.3,33.7,55.6,30.37,-429,839
2016-12-16 15:48:48,535218528,***,***,5.8,5.8,5.8,79.1,79.0,23.1,74.8,38.3,57.0,30.37,-429,873
2016-12-16 15:48:54,535218534,***,***,9.5,9.5,9.5,79.1,79.2,26.9,75.6,42.2,58.5,30.38,-429,890
2016-12-16 15:48:58,535218538,***,***,2.8,2.8,2.8,78.8,78.8,29.4,75.4,44.2,59.0,30.38,-429,878
2016-12-16 15:49:01,535218541,***,***,1.4,1.4,1.4,79.0,79.0,29.6,75.6,44.7,59.2,30.37,-429,902
