FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,mph,mph,mph,°F,°F,%,°F,°F,°F,inHg,ft,ft
2016-12-16 14:59:59,535215599,***,***,12.1,12.1,12.1,80.8,80.8,24.1,76.8,40.8,58.6,30.38,-431,990
2016-12-16 15:00:00,535215600,***,***,9.1,9.1,9.1,80.5,80.4,25.0,76.6,41.5,58.6,30.39,-440,963
2016-12-16 15:08:49,535216129,***,***,5.5,5.5,5.5,43.7,39.0,9.7,41.2,-10.0,30.5,30.37,-426,-1539
2016-12-16 15:08:53,535216133,***,***,1.9,1.9,1.9,41.3,39.7,13.0,39.4,-5.9,29.4,30.37,-429,-1703
2016-12-16 15:08:57,535216137,***,***,1.6,1.6,1.6,40.5,40.5,15.2,38.8,-3.3,29.2,30.37,-429,-1758
2016-12-16 15:09:02,535216142,***,***,2.2,2.2,2.2,38.2,36.0,16.0,37.0,-4.0,27.9,30.38,-431,-1917
2016-12-16 15:09:08,535216148,***,***,1.5,1.5,1.5,37.2,37.2,16.0,36.1,-5.0,27.0,30.37,-429,-1985
2016-12-16 15:09:12,535216152,***,***,1.1,1.1,1.1,35.8,35.8,16.1,34.9,-5.9,26.0,30.37,-429,-2085
2016-12-16 15:09:19,535216159,***,***,2.6,2.6,2.6,33.9,30.5,17.8,33.4,-5.5,24.7,30.38,-431,-2224
2016-12-16 15:09:24,535216164,***,***,2.0,2.0,2.0,32.4,29.7,18.8,32.2,-5.6,23.8,30.37,-426,-2318
2016-12-16 15:09:32,535216172,***,***,1.2,1.2,1.2,31.9,31.9,20.2,31.9,-4.5,23.4,30.37,-429,-2359
2016-12-16 15:09:41,535216181,***,***,1.5,1.5,1.5,33.3,33.3,23.1,32.9,-0.4,24.9,30.38,-434,-2262
2016-12-16 15:09:55,535216195,***,***,1.3,1.3,1.3,35.4,35.4,27.1,34.7,4.8,27.0,30.38,-431,-2110
2016-12-16 15:10:04,535216204,***,***,2.1,2.1,2.1,34.8,32.4,28.3,34.3,5.3,26.7,30.38,-429,-2142
2016-12-16 15:10:09,535216209,***,***,1.0,1.0,1.0,33.5,33.4,29.0,33.1,4.7,25.8,30.38,-431,-2240
2016-12-16 15:10:19,535216219,***,***,1.0,1.0,1.0,31.8,31.9,29.2,31.9,3.3,24.5,30.38,-429,-2359
2016-12-16 15:10:26,535216226,***,***,0.0,0.0,0.0,32.1,32.2,29.5,32.0,3.8,24.7,30.38,-431,-2338
2016-12-16 15:10:33,535216233,***,***,6.9,6.9,6.9,34.5,27.0,31.4,34.0,7.3,26.9,30.38,-431,-2165
2016-12-16 15:10:37,535216237,***,***,2.7,2.7,2.7,34.7,31.5,37.1,34.3,11.1,27.8,30.38,-431,-2149
2016-12-16 15:10:41,535216241,***,***,1.1,1.1,1.1,35.4,35.4,42.1,34.9,14.6,28.8,30.38,-434,-2099
2016-12-16 15:10:46,535216246,***,***,0.9,0.9,0.9,35.9,36.0,43.1,35.4,15.6,29.4,30.38,-431,-2056
2016-12-16 15:10:51,535216251,***,***,1.4,1.4,1.4,34.3,34.3,42.1,34.0,13.7,27.9,30.38,-434,-2172
2016-12-16 15:10:59,535216259,***,***,6.2,6.2,6.2,34.9,28.1,39.7,34.3,12.9,28.1,30.38,-434,-2131
2016-12-16 15:11:06,535216266,***,***,0.6,0.6,0.6,34.6,34.5,41.9,34.2,13.8,27.9,30.39,-440,-2160
2016-12-16 15:11:12,535216272,***,***,1.6,1.6,1.6,35.2,35.2,41.9,34.7,14.4,28.7,30.38,-436,-2113
2016-12-16 15:11:16,535216276,***,***,1.4,1.4,1.4,35.2,35.2,44.2,34.7,15.6,29.0,30.39,-440,-2113
2016-12-16 15:11:20,535216280,***,***,0.8,0.8,0.8,34.7,34.7,45.8,34.3,15.9,28.7,30.38,-434,-2145
2016-12-16 15:11:23,535216283,***,***,1.5,1.5,1.5,34.0,34.0,45.6,33.6,15.2,28.1,30.39,-440,-2201
2016-12-16 15:11:27,535216287,***,***,1.8,1.8,1.8,32.0,32.0,43.4,32.0,12.2,26.1,30.39,-436,-2345
2016-12-16 15:11:32,535216292,***,***,2.1,2.1,2.1,31.5,28.5,40.9,31.5,10.5,25.4,30.38,-434,-2376
2016-12-16 15:11:37,535216297,***,***,1.2,1.2,1.2,30.5,30.5,38.2,30.5,8.0,24.3,30.38,-434,-2453
2016-12-16 15:11:44,535216304,***,***,2.5,2.5,2.5,29.9,26.5,35.4,30.1,5.8,23.8,30.39,-436,-2498
2016-12-16 15:11:49,535216309,***,***,2.3,2.3,2.3,29.0,25.6,34.3,29.0,4.3,22.7,30.38,-434,-2565
2016-12-16 15:11:54,535216314,***,***,3.3,3.3,3.2,27.8,22.7,33.2,27.9,2.5,21.6,30.39,-440,-2654
2016-12-16 15:12:02,535216322,***,***,1.7,1.7,1.7,29.3,29.4,32.3,29.4,3.3,22.9,30.39,-436,-2545
2016-12-16 15:12:08,535216328,***,***,2.7,2.7,2.7,28.5,24.5,32.1,28.7,2.5,22.2,30.39,-440,-2603
2016-12-16 15:12:14,535216334,***,***,2.1,2.1,2.1,27.8,24.3,32.1,27.9,1.8,21.5,30.39,-436,-2652
